date,total_vol
1984,3495572934
1985,12688947593
1986,14870943087
1987,16669204974
1988,11515911625
1989,14196771844
1990,12382948677
1991,15993287869
1992,11472666960
1993,15743764882
1994,15939810756
1995,20711678951
1996,14834966614
1997,20069361526
1998,32125708676
1999,38170402486
2000,33550076320
2001,26398455204
2002,21221117150
2003,19884119555
2004,33983486665
2005,50969534243
2006,60107435421
2007,68790509464
2008,79481020525
2009,39767491427
2010,41862309101
2011,34510389228
2012,36546687627
2013,27969435635
2014,16990062326
2015,13750744923
2016,9398376872
2017,5887378681
