date,total_vol
1962,441342859
1963,234517005
1964,161517678
1965,122606321
1966,139614387
1967,110220885
1968,151460943
1969,154215398
1970,255042389
1971,222504011
1972,188502209
1973,235962454
1974,247491900
1975,343160672
1976,381807183
1977,434412807
1978,607043151
1979,502486828
1980,657836536
1981,631105497
1982,1030704047
1983,1063421578
1984,1387582310
1985,1464200387
1986,1949594323
1987,2498463656
1988,1753456796
1989,1926984902
1990,1930675381
1991,2097162600
1992,2457636047
1993,2776252903
1994,2877993959
1995,3739229688
1996,4115266015
1997,3440383974
1998,2492534139
1999,2839508384
2000,2195060713
2001,2532020369
2002,2799036527
2003,2217837891
2004,1574624729
2005,1847790459
2006,1736705255
2007,2401455317
2008,2839237505
2009,2500348036
2010,1929939009
2011,1719975479
2012,1193677614
2013,1231784617
2014,1285431668
2015,1212080123
2016,1077914513
2017,943901777
