date,total_vol
1972,1560098576
1973,3415390247
1974,5464496811
1975,5223999959
1976,2775754298
1977,2811533157
1978,2725008558
1979,2942105572
1980,3624617651
1981,3647817885
1982,7994859555
1983,7986527617
1984,8808360088
1985,9153644454
1986,11412854930
1987,21934763828
1988,18204285074
1989,15331656060
1990,18806738033
1991,21915003431
1992,21780698907
1993,29183169246
1994,23632223295
1995,28116363801
1996,23330746453
1997,28108254302
1998,21656958961
1999,16639729230
2000,16508195823
2001,16161459826
2002,18048198231
2003,17949529045
2004,20559241299
2005,18420280301
2006,22164446290
2007,20376820541
2008,22556032635
2009,20099206355
2010,20841426555
2011,19083810225
2012,12550535476
2013,11346663022
2014,8840738992
2015,8211424399
2016,5547538507
2017,5067988635
