date,total_vol
1986,9815006983
1987,31791834743
1988,23222837688
1989,25909249599
1990,24913125032
1991,22778113420
1992,20596602101
1993,21579394343
1994,22587856113
1995,25605530336
1996,24278358293
1997,21822514099
1998,19885840554
1999,19957025811
2000,26708995374
2001,25005108568
2002,25870110917
2003,21811583667
2004,22033719620
2005,20061885721
2006,20045687801
2007,18648774942
2008,25317348499
2009,18724372756
2010,18843191782
2011,18078170147
2012,13761981620
2013,13723422817
2014,9156448699
2015,9573521805
2016,7392907949
2017,4812718243
